ID	Hits	Hit names
MO000019737	[]	[]
MO000019738	[]	[]
MO000019760	[]	[]
MO000019766	[]	[]
MO000019779	["MO000020308","MO000041035","MO000280671","MO000308694"]	["SARA(h):Smad2-L(h)","Smad2-L(h):LEMD3(h)","p300(h):Smad2-L(h)","wwp2-isoform1(h):Smad2-L(h)"]
MO000019782	[]	[]
MO000019830	[]	[]
MO000019966	[]	[]
MO000019978	[]	[]
MO000019984	[]	[]
MO000019985	["MO000041035"]	["p300(h):Smad2-L(h)"]
MO000019986	[]	[]
MO000019987	[]	[]
MO000019988	[]	[]
MO000019990	[]	[]
MO000019999	[]	[]
MO000020001	[]	[]
MO000020004	[]	[]
MO000020010	[]	[]
MO000020011	[]	[]
MO000020012	[]	[]
MO000020013	[]	[]
MO000020026	[]	[]
MO000020068	[]	[]
MO000020069	[]	[]
MO000020071	[]	[]
MO000020072	[]	[]
MO000020075	[]	[]
MO000020076	[]	[]
MO000020081	[]	[]
MO000020082	[]	[]
MO000020095	[]	[]
MO000020096	[]	[]
MO000020097	[]	[]
MO000020098	[]	[]
MO000020099	[]	[]
MO000020100	[]	[]
MO000020101	[]	[]
MO000020102	[]	[]
MO000020103	[]	[]
MO000020104	[]	[]
MO000020106	[]	[]
MO000020107	[]	[]
MO000020112	[]	[]
MO000020126	[]	[]
MO000020132	[]	[]
MO000020181	[]	[]
MO000020227	[]	[]
MO000020228	[]	[]
MO000020247	[]	[]
MO000020248	[]	[]
MO000020249	[]	[]
MO000020256	[]	[]
MO000020260	[]	[]
MO000020261	[]	[]
MO000020262	[]	[]
MO000020279	[]	[]
MO000020308	["MO000019779"]	["Smad2-L(h)"]
MO000020327	[]	[]
MO000020336	[]	[]
MO000020403	[]	[]
MO000020405	[]	[]
MO000020412	[]	[]
MO000020422	[]	[]
MO000020426	[]	[]
MO000020430	[]	[]
MO000020431	[]	[]
MO000020463	[]	[]
MO000020509	[]	[]
MO000020511	[]	[]
MO000020657	[]	[]
MO000020659	[]	[]
MO000020693	[]	[]
MO000020775	[]	[]
MO000020777	[]	[]
MO000020801	[]	[]
MO000020808	[]	[]
MO000020815	[]	[]
MO000020835	[]	[]
MO000020944	[]	[]
MO000020951	[]	[]
MO000020953	[]	[]
MO000020954	[]	[]
MO000020956	[]	[]
MO000021004	[]	[]
MO000021006	[]	[]
MO000021024	[]	[]
MO000021038	[]	[]
MO000021039	[]	[]
MO000021043	[]	[]
MO000021046	[]	[]
MO000021053	[]	[]
MO000021100	[]	[]
MO000021136	[]	[]
MO000021137	[]	[]
MO000021172	[]	[]
MO000021173	[]	[]
MO000021174	[]	[]
MO000021217	[]	[]
MO000021242	[]	[]
MO000021274	[]	[]
MO000021282	[]	[]
MO000021309	[]	[]
MO000021310	[]	[]
MO000021326	[]	[]
MO000021342	[]	[]
MO000021343	[]	[]
MO000021350	[]	[]
MO000021355	[]	[]
MO000021356	[]	[]
MO000021373	[]	[]
MO000021375	[]	[]
MO000021410	[]	[]
MO000021421	[]	[]
MO000021473	[]	[]
MO000021521	[]	[]
MO000021528	[]	[]
MO000021532	[]	[]
MO000021533	[]	[]
MO000021539	[]	[]
MO000021545	[]	[]
MO000021546	[]	[]
MO000021550	[]	[]
MO000021574	[]	[]
MO000021607	[]	[]
MO000021638	[]	[]
MO000021639	[]	[]
MO000021655	[]	[]
MO000021656	[]	[]
MO000021660	[]	[]
MO000021735	[]	[]
MO000021736	[]	[]
MO000021739	[]	[]
MO000021740	[]	[]
MO000021743	[]	[]
MO000021744	[]	[]
MO000021746	[]	[]
MO000021748	[]	[]
MO000021750	[]	[]
MO000021752	[]	[]
MO000021781	[]	[]
MO000021784	[]	[]
MO000021786	[]	[]
MO000021802	[]	[]
MO000021805	[]	[]
MO000021822	[]	[]
MO000021828	[]	[]
MO000021834	[]	[]
MO000021835	[]	[]
MO000021836	[]	[]
MO000021837	[]	[]
MO000021841	[]	[]
MO000021893	[]	[]
MO000021896	[]	[]
MO000021911	[]	[]
MO000021923	[]	[]
MO000021924	[]	[]
MO000021981	[]	[]
MO000021983	[]	[]
MO000022022	[]	[]
MO000022026	[]	[]
MO000022072	[]	[]
MO000022077	[]	[]
MO000022078	[]	[]
MO000022080	[]	[]
MO000022081	[]	[]
MO000022083	[]	[]
MO000022095	[]	[]
MO000022097	[]	[]
MO000022098	[]	[]
MO000022117	[]	[]
MO000022118	[]	[]
MO000022119	[]	[]
MO000022120	[]	[]
MO000022121	[]	[]
MO000022122	[]	[]
MO000022129	[]	[]
MO000022134	[]	[]
MO000022135	[]	[]
MO000022147	[]	[]
MO000022183	[]	[]
MO000022189	[]	[]
MO000022191	[]	[]
MO000022192	[]	[]
MO000022229	[]	[]
MO000022236	[]	[]
MO000022237	[]	[]
MO000022318	[]	[]
MO000022323	[]	[]
MO000022334	[]	[]
MO000022335	[]	[]
MO000022336	[]	[]
MO000022338	[]	[]
MO000022393	[]	[]
MO000022395	[]	[]
MO000022436	[]	[]
MO000022437	[]	[]
MO000022552	[]	[]
MO000022608	[]	[]
MO000023120	[]	[]
MO000023121	[]	[]
MO000023124	[]	[]
MO000023155	[]	[]
MO000023159	[]	[]
MO000023160	[]	[]
MO000023180	[]	[]
MO000023184	[]	[]
MO000023203	[]	[]
MO000023204	[]	[]
MO000023205	[]	[]
MO000023208	[]	[]
MO000023215	[]	[]
MO000023216	[]	[]
MO000023217	[]	[]
MO000023297	[]	[]
MO000023312	[]	[]
MO000023314	[]	[]
MO000023319	[]	[]
MO000023323	[]	[]
MO000023324	[]	[]
MO000023341	[]	[]
MO000023342	[]	[]
MO000023349	[]	[]
MO000023351	[]	[]
MO000023353	[]	[]
MO000023354	[]	[]
MO000023362	[]	[]
MO000023365	[]	[]
MO000023367	[]	[]
MO000023370	[]	[]
MO000023371	[]	[]
MO000023385	[]	[]
MO000023392	[]	[]
MO000023401	[]	[]
MO000023403	[]	[]
MO000023410	[]	[]
MO000023411	[]	[]
MO000023428	[]	[]
MO000023431	[]	[]
MO000023440	[]	[]
MO000023456	[]	[]
MO000023457	[]	[]
MO000023458	[]	[]
MO000023459	[]	[]
MO000023460	[]	[]
MO000023461	[]	[]
MO000023475	[]	[]
MO000023478	[]	[]
MO000023490	[]	[]
MO000023504	[]	[]
MO000023505	[]	[]
MO000023509	[]	[]
MO000023513	[]	[]
MO000023517	[]	[]
MO000023522	[]	[]
MO000023533	[]	[]
MO000023534	[]	[]
MO000023538	[]	[]
MO000023539	[]	[]
MO000023540	[]	[]
MO000023549	[]	[]
MO000023552	[]	[]
MO000023557	[]	[]
MO000023558	[]	[]
MO000023560	[]	[]
MO000023561	[]	[]
MO000023562	[]	[]
MO000023564	[]	[]
MO000023568	[]	[]
MO000023569	[]	[]
MO000023571	[]	[]
MO000023572	[]	[]
MO000023575	[]	[]
MO000023576	[]	[]
MO000023579	[]	[]
MO000023580	[]	[]
MO000023581	[]	[]
MO000023583	[]	[]
MO000023584	[]	[]
MO000023585	[]	[]
MO000023586	[]	[]
MO000023587	[]	[]
MO000023599	[]	[]
MO000023601	[]	[]
MO000023604	[]	[]
MO000023612	[]	[]
MO000023614	[]	[]
MO000023615	[]	[]
MO000023616	[]	[]
MO000023617	[]	[]
MO000023618	[]	[]
MO000023619	[]	[]
MO000023620	[]	[]
MO000023621	[]	[]
MO000023623	[]	[]
MO000023629	[]	[]
MO000023630	[]	[]
MO000023635	[]	[]
MO000023641	[]	[]
MO000023642	[]	[]
MO000023644	[]	[]
MO000023645	[]	[]
MO000023646	[]	[]
MO000023650	[]	[]
MO000024660	[]	[]
MO000024708	[]	[]
MO000024737	[]	[]
MO000024750	[]	[]
MO000024751	[]	[]
MO000024752	[]	[]
MO000025193	[]	[]
MO000025736	[]	[]
MO000025982	[]	[]
MO000026185	[]	[]
MO000026300	[]	[]
MO000026301	[]	[]
MO000026459	["MO000043839"]	["NF-YC-isoform3(h):p63-isoform1(h)"]
MO000026882	[]	[]
MO000027279	[]	[]
MO000028292	["MO000476423"]	["C18orf1-Alpha-2(h):Smad2-short(h)"]
MO000028475	[]	[]
MO000028665	[]	[]
MO000028811	[]	[]
MO000030827	[]	[]
MO000030828	[]	[]
MO000030829	[]	[]
MO000030830	[]	[]
MO000030831	[]	[]
MO000030832	[]	[]
MO000030837	[]	[]
MO000030838	[]	[]
MO000030842	[]	[]
MO000030844	[]	[]
MO000030850	[]	[]
MO000030854	[]	[]
MO000030857	[]	[]
MO000030858	[]	[]
MO000030859	[]	[]
MO000030860	[]	[]
MO000030862	[]	[]
MO000030863	[]	[]
MO000030867	[]	[]
MO000030868	[]	[]
MO000030869	[]	[]
MO000030870	[]	[]
MO000030871	[]	[]
MO000030876	[]	[]
MO000030877	[]	[]
MO000030878	[]	[]
MO000030880	[]	[]
MO000030881	[]	[]
MO000030900	[]	[]
MO000030901	[]	[]
MO000030902	[]	[]
MO000030903	[]	[]
MO000030905	[]	[]
MO000030911	[]	[]
MO000030912	[]	[]
MO000030915	[]	[]
MO000030925	[]	[]
MO000030926	[]	[]
MO000030927	[]	[]
MO000030928	[]	[]
MO000030930	[]	[]
MO000030931	[]	[]
MO000030936	[]	[]
MO000030947	[]	[]
MO000030953	[]	[]
MO000030986	[]	[]
MO000030987	[]	[]
MO000030991	[]	[]
MO000030995	[]	[]
MO000030996	[]	[]
MO000030997	[]	[]
MO000030998	[]	[]
MO000030999	[]	[]
MO000031000	[]	[]
MO000031001	[]	[]
MO000031002	[]	[]
MO000031004	[]	[]
MO000031005	[]	[]
MO000031040	[]	[]
MO000031042	[]	[]
MO000031044	[]	[]
MO000031049	[]	[]
MO000031050	[]	[]
MO000031051	[]	[]
MO000031067	[]	[]
MO000031069	[]	[]
MO000031070	[]	[]
MO000031071	[]	[]
MO000031072	[]	[]
MO000031078	[]	[]
MO000031080	[]	[]
MO000031081	[]	[]
MO000031082	[]	[]
MO000031085	[]	[]
MO000031089	[]	[]
MO000031093	[]	[]
MO000031094	[]	[]
MO000031096	[]	[]
MO000031099	[]	[]
MO000031102	[]	[]
MO000031103	[]	[]
MO000031133	[]	[]
MO000031152	[]	[]
MO000031154	[]	[]
MO000031162	[]	[]
MO000031164	[]	[]
MO000031165	[]	[]
MO000031166	[]	[]
MO000031168	[]	[]
MO000031174	[]	[]
MO000031190	[]	[]
MO000031192	[]	[]
MO000031193	[]	[]
MO000031199	[]	[]
MO000031200	[]	[]
MO000031206	[]	[]
MO000031208	[]	[]
MO000031214	[]	[]
MO000031215	[]	[]
MO000031216	[]	[]
MO000031217	[]	[]
MO000031219	[]	[]
MO000031221	[]	[]
MO000031232	[]	[]
MO000031234	[]	[]
MO000031241	[]	[]
MO000031242	[]	[]
MO000031243	[]	[]
MO000031244	[]	[]
MO000031246	[]	[]
MO000031255	[]	[]
MO000031256	[]	[]
MO000031291	[]	[]
MO000031293	[]	[]
MO000031300	[]	[]
MO000031301	[]	[]
MO000031320	[]	[]
MO000031323	[]	[]
MO000031325	[]	[]
MO000031327	[]	[]
MO000031333	[]	[]
MO000031334	[]	[]
MO000031335	[]	[]
MO000031366	[]	[]
MO000031367	[]	[]
MO000031370	[]	[]
MO000031374	[]	[]
MO000031375	[]	[]
MO000031379	[]	[]
MO000031380	[]	[]
MO000031383	[]	[]
MO000031385	[]	[]
MO000031924	[]	[]
MO000031960	[]	[]
MO000032009	[]	[]
MO000032018	[]	[]
MO000032027	[]	[]
MO000032057	[]	[]
MO000032059	[]	[]
MO000032060	[]	[]
MO000032063	[]	[]
MO000032064	[]	[]
MO000032068	[]	[]
MO000032069	[]	[]
MO000032070	[]	[]
MO000032076	[]	[]
MO000032080	[]	[]
MO000032081	[]	[]
MO000032083	[]	[]
MO000032084	[]	[]
MO000032085	[]	[]
MO000032092	[]	[]
MO000032099	[]	[]
MO000032100	[]	[]
MO000032101	[]	[]
MO000032102	[]	[]
MO000032107	[]	[]
MO000032108	[]	[]
MO000032113	[]	[]
MO000032114	[]	[]
MO000032126	[]	[]
MO000032158	[]	[]
MO000032163	[]	[]
MO000032167	[]	[]
MO000032194	[]	[]
MO000032207	[]	[]
MO000032222	[]	[]
MO000032281	[]	[]
MO000032282	[]	[]
MO000032287	[]	[]
MO000032289	[]	[]
MO000032290	[]	[]
MO000032291	[]	[]
MO000032293	[]	[]
MO000032294	[]	[]
MO000032297	[]	[]
MO000032300	[]	[]
MO000032303	[]	[]
MO000032305	[]	[]
MO000032307	[]	[]
MO000032311	[]	[]
MO000032317	[]	[]
MO000032318	[]	[]
MO000032323	[]	[]
MO000032324	[]	[]
MO000032327	[]	[]
MO000032345	[]	[]
MO000032349	[]	[]
MO000032351	[]	[]
MO000032385	[]	[]
MO000032420	[]	[]
MO000032421	[]	[]
MO000032427	[]	[]
MO000032430	[]	[]
MO000032441	[]	[]
MO000032449	[]	[]
MO000032455	[]	[]
MO000032456	[]	[]
MO000032467	[]	[]
MO000032468	[]	[]
MO000032481	[]	[]
MO000032482	[]	[]
MO000032483	[]	[]
MO000032486	[]	[]
MO000032493	[]	[]
MO000032495	[]	[]
MO000032497	[]	[]
MO000032498	[]	[]
MO000032499	[]	[]
MO000032500	[]	[]
MO000032501	[]	[]
MO000032514	[]	[]
MO000032515	[]	[]
MO000032516	[]	[]
MO000032527	[]	[]
MO000032528	[]	[]
MO000032541	[]	[]
MO000032670	[]	[]
MO000032682	[]	[]
MO000032714	[]	[]
MO000032766	[]	[]
MO000033238	[]	[]
MO000033243	[]	[]
MO000033245	[]	[]
MO000033250	[]	[]
MO000033251	[]	[]
MO000033256	[]	[]
MO000033261	[]	[]
MO000033264	[]	[]
MO000033265	[]	[]
MO000033270	[]	[]
MO000033271	[]	[]
MO000033273	[]	[]
MO000033275	[]	[]
MO000033278	[]	[]
MO000033279	[]	[]
MO000033286	[]	[]
MO000033288	[]	[]
MO000033291	[]	[]
MO000033294	[]	[]
MO000033304	[]	[]
MO000033313	[]	[]
MO000033331	[]	[]
MO000033350	[]	[]
MO000033355	[]	[]
MO000033357	[]	[]
MO000033399	[]	[]
MO000033400	[]	[]
MO000033434	[]	[]
MO000033435	[]	[]
MO000033441	[]	[]
MO000033453	[]	[]
MO000033454	[]	[]
MO000033458	[]	[]
MO000033485	[]	[]
MO000033486	[]	[]
MO000033518	[]	[]
MO000033526	[]	[]
MO000033528	[]	[]
MO000033533	[]	[]
MO000033534	[]	[]
MO000033563	[]	[]
MO000033566	[]	[]
MO000033603	[]	[]
MO000033628	[]	[]
MO000033764	[]	[]
MO000033767	[]	[]
MO000033805	[]	[]
MO000033825	[]	[]
MO000033973	[]	[]
MO000033974	[]	[]
MO000033975	[]	[]
MO000033987	[]	[]
MO000033989	[]	[]
MO000033990	[]	[]
MO000034044	[]	[]
MO000034078	[]	[]
MO000034092	[]	[]
MO000034094	[]	[]
MO000034125	[]	[]
MO000034126	[]	[]
MO000034130	[]	[]
MO000034131	[]	[]
MO000034133	[]	[]
MO000034134	[]	[]
MO000034139	[]	[]
MO000034141	[]	[]
MO000034168	[]	[]
MO000034171	[]	[]
MO000034172	[]	[]
MO000034192	[]	[]
MO000034204	[]	[]
MO000034206	[]	[]
MO000034207	[]	[]
MO000034215	[]	[]
MO000034238	[]	[]
MO000034261	[]	[]
MO000034270	[]	[]
MO000034271	[]	[]
MO000034272	[]	[]
MO000034273	[]	[]
MO000034274	[]	[]
MO000034279	[]	[]
MO000034280	[]	[]
MO000034326	[]	[]
MO000034336	[]	[]
MO000034348	[]	[]
MO000034349	[]	[]
MO000034352	[]	[]
MO000034356	[]	[]
MO000034359	[]	[]
MO000034360	[]	[]
MO000034361	[]	[]
MO000034362	[]	[]
MO000034363	[]	[]
MO000034398	[]	[]
MO000034399	[]	[]
MO000034400	[]	[]
MO000034445	[]	[]
MO000034453	[]	[]
MO000034456	[]	[]
MO000034458	[]	[]
MO000034459	[]	[]
MO000034475	[]	[]
MO000034491	[]	[]
MO000034502	[]	[]
MO000034562	[]	[]
MO000034573	[]	[]
MO000034584	[]	[]
MO000034586	[]	[]
MO000034609	[]	[]
MO000034687	[]	[]
MO000034703	[]	[]
MO000034704	[]	[]
MO000034721	[]	[]
MO000034724	[]	[]
MO000034730	[]	[]
MO000034736	[]	[]
MO000034760	[]	[]
MO000034762	[]	[]
MO000034912	[]	[]
MO000034921	[]	[]
MO000034934	[]	[]
MO000034952	[]	[]
MO000034953	[]	[]
MO000034956	[]	[]
MO000034958	[]	[]
MO000034974	[]	[]
MO000034975	[]	[]
MO000034976	[]	[]
MO000034981	[]	[]
MO000035008	[]	[]
MO000035010	[]	[]
MO000035011	[]	[]
MO000035049	[]	[]
MO000035050	[]	[]
MO000035053	[]	[]
MO000035054	[]	[]
MO000035066	[]	[]
MO000035074	[]	[]
MO000035075	[]	[]
MO000035104	[]	[]
MO000035105	[]	[]
MO000035106	[]	[]
MO000035128	[]	[]
MO000035129	[]	[]
MO000035164	[]	[]
MO000035204	[]	[]
MO000035206	[]	[]
MO000035212	[]	[]
MO000035219	[]	[]
MO000035222	[]	[]
MO000035257	[]	[]
MO000035362	[]	[]
MO000035368	[]	[]
MO000035369	[]	[]
MO000035382	[]	[]
MO000035404	[]	[]
MO000035413	[]	[]
MO000035436	[]	[]
MO000035440	[]	[]
MO000035443	[]	[]
MO000035540	[]	[]
MO000035541	[]	[]
MO000035581	[]	[]
MO000035623	[]	[]
MO000035624	[]	[]
MO000035638	[]	[]
MO000035640	[]	[]
MO000035643	[]	[]
MO000035647	[]	[]
MO000035654	[]	[]
MO000035774	[]	[]
MO000035782	[]	[]
MO000035789	[]	[]
MO000035800	[]	[]
MO000035809	[]	[]
MO000035926	[]	[]
MO000035945	[]	[]
MO000035948	[]	[]
MO000035951	[]	[]
MO000035953	[]	[]
MO000035961	[]	[]
MO000035963	[]	[]
MO000035984	[]	[]
MO000035985	[]	[]
MO000036007	[]	[]
MO000036027	[]	[]
MO000036028	[]	[]
MO000036029	[]	[]
MO000036151	[]	[]
MO000036206	[]	[]
MO000036210	[]	[]
MO000036212	[]	[]
MO000036214	[]	[]
MO000036297	[]	[]
MO000036298	[]	[]
MO000036299	[]	[]
MO000036327	[]	[]
MO000036349	[]	[]
MO000036354	[]	[]
MO000036361	[]	[]
MO000036429	[]	[]
MO000036430	[]	[]
MO000036458	[]	[]
MO000036474	[]	[]
MO000036693	[]	[]
MO000036694	[]	[]
MO000036701	[]	[]
MO000036754	[]	[]
MO000036756	[]	[]
MO000036851	[]	[]
MO000036887	[]	[]
MO000036910	[]	[]
MO000036911	[]	[]
MO000037120	[]	[]
MO000037121	[]	[]
MO000037157	[]	[]
MO000037342	[]	[]
MO000037356	[]	[]
MO000037640	[]	[]
MO000037641	[]	[]
MO000037712	[]	[]
MO000037766	[]	[]
MO000037813	[]	[]
MO000037824	[]	[]
MO000037825	[]	[]
MO000037826	[]	[]
MO000037828	[]	[]
MO000037829	[]	[]
MO000037831	[]	[]
MO000037838	[]	[]
MO000037842	[]	[]
MO000037843	[]	[]
MO000037914	[]	[]
MO000037916	[]	[]
MO000037919	[]	[]
MO000037921	[]	[]
MO000037946	[]	[]
MO000037977	[]	[]
MO000038015	[]	[]
MO000038274	[]	[]
MO000038298	[]	[]
MO000038305	[]	[]
MO000038307	[]	[]
MO000038311	[]	[]
MO000038312	[]	[]
MO000038319	[]	[]
MO000038327	[]	[]
MO000038328	[]	[]
MO000038329	[]	[]
MO000038330	[]	[]
MO000038331	[]	[]
MO000038334	[]	[]
MO000038348	[]	[]
MO000038350	[]	[]
MO000038371	[]	[]
MO000038374	[]	[]
MO000038391	[]	[]
