k inertia
2 1893289.2725510732
3 1803452.7824331457
4 1744204.2075957856
5 1738497.6720889816
6 1681835.4192556418
10 1604660.2861405108
7 1652760.9896759577
8 1629991.5641338285
9 1611468.1243301965
11 1569670.9127587075
12 1606345.938705596
13 1591111.849180582
14 1539565.3640993005
15 1527863.283471197
