k	inertia
2	16568.593961724167
3	15175.937150818096
4	13597.961715305219
5	12539.812831771538
6	11709.61102821205
7	11074.693213668885
8	10362.867160473836
9	9899.672924863427
10	9748.734424257362
11	9199.290514064882
12	8609.78582300281
13	8069.312000474855
14	7897.014545126628
15	7513.71768899998
