k inertia 
5 3083925.8933841474
2 3337605.306567014
3 3208545.576282228
4 3119314.619426161
5 3083925.8933841474
6 2962714.500039719
7 2939914.900174698
8 2884587.890091926
9 2912839.904305469
10 2842096.605897489
11 2885059.2083773473
12 2754212.6489802655
13 2822665.6420914503
14 2694566.7383846925
15 2688655.8912003413
